path,label,origin
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000000_seed20250924.png,angry,synthetic
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000001_seed20250926.png,angry,synthetic
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000002_seed20250929.png,angry,synthetic
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000003_seed20250932.png,angry,synthetic
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000004_seed20250933.png,angry,synthetic
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000005_seed20250934.png,angry,synthetic
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000006_seed20250937.png,angry,synthetic
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000007_seed20250942.png,angry,synthetic
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000008_seed20250943.png,angry,synthetic
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000009_seed20250946.png,angry,synthetic
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000010_seed20250947.png,angry,synthetic
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000011_seed20250951.png,angry,synthetic
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000012_seed20250953.png,angry,synthetic
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000013_seed20250954.png,angry,synthetic
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000014_seed20250955.png,angry,synthetic
/content/ann-visual-emotion/data/processed/FullDataEmoSet_gen_cropped/angry/angry_syn_000015_seed20250957.png,angry,synthetic
