filepath,label,split,label_id
train/angry/image_angry_220_jpg.rf.c653ae399fda45e922db22e134af4ade.jpg,angry,train,0
train/angry/im1253.png,angry,train,0
train/angry/im1410.png,angry,train,0
train/angry/im1863.png,angry,train,0
train/angry/im3932.png,angry,train,0
train/angry/im172.png,angry,train,0
train/angry/im1361.png,angry,train,0
train/angry/im1670.png,angry,train,0
train/angry/im9.png,angry,train,0
train/angry/train_00118_aligned.jpg,angry,train,0
train/angry/image_angry_25_jpg.rf.7b72fb95a26df5541695c7a9cb91faca.jpg,angry,train,0
train/angry/im3738.png,angry,train,0
train/angry/Angry_99_png.rf.cffd88b2c4a12574a43ce788c8a457da.jpg,angry,train,0
train/angry/train_04149_aligned.jpg,angry,train,0
train/angry/im1106.png,angry,train,0
train/angry/im3526.png,angry,train,0
train/angry/im483.png,angry,train,0
train/angry/train_06069_aligned.jpg,angry,train,0
train/angry/im956.png,angry,train,0
train/angry/train_07507_aligned.jpg,angry,train,0
train/angry/im1397.png,angry,train,0
train/angry/image_angry_29_jpg.rf.9d29f15e2f531f9b842c3577eea84fd7.jpg,angry,train,0
train/angry/im1730.png,angry,train,0
train/angry/train_01211_aligned.jpg,angry,train,0
train/angry/im3714.png,angry,train,0
train/angry/im3938.png,angry,train,0
train/angry/im3544.png,angry,train,0
train/angry/im2152.png,angry,train,0
train/angry/im3428.png,angry,train,0
train/angry/im2103.png,angry,train,0
train/angry/train_00693_aligned.jpg,angry,train,0
train/angry/im1167.png,angry,train,0
train/angry/image_angry_262_jpg.rf.b82a7a615d109b46211d306ba39ba114.jpg,angry,train,0
train/angry/im3906.png,angry,train,0
train/angry/im404.png,angry,train,0
train/angry/im1905.png,angry,train,0
train/angry/im3122.png,angry,train,0
train/angry/im3467.png,angry,train,0
train/angry/train_06984_aligned.jpg,angry,train,0
train/angry/train_03941_aligned.jpg,angry,train,0
train/angry/train_00164_aligned.jpg,angry,train,0
train/angry/im727.png,angry,train,0
train/angry/im3811.png,angry,train,0
train/angry/im3610.png,angry,train,0
train/angry/im1604.png,angry,train,0
train/angry/im2523.png,angry,train,0
train/angry/im2098.png,angry,train,0
train/angry/im1565.png,angry,train,0
train/angry/train_06341_aligned.jpg,angry,train,0
train/angry/im1492.png,angry,train,0
train/angry/test_1803_aligned.jpg,angry,train,0
train/angry/im3146.png,angry,train,0
train/angry/im2008.png,angry,train,0
train/angry/im2506.png,angry,train,0
train/angry/train_02043_aligned.jpg,angry,train,0
train/angry/im2329.png,angry,train,0
train/angry/im3504.png,angry,train,0
train/angry/im1093.png,angry,train,0
train/angry/im2776.png,angry,train,0
train/angry/im867.png,angry,train,0
train/angry/train_04132_aligned.jpg,angry,train,0
train/angry/test_0452_aligned.jpg,angry,train,0
train/angry/im1878.png,angry,train,0
train/angry/im312.png,angry,train,0
train/angry/im768.png,angry,train,0
train/angry/im3535.png,angry,train,0
train/angry/im1977.png,angry,train,0
train/angry/im693.png,angry,train,0
train/angry/im2415.png,angry,train,0
train/angry/train_04234_aligned.jpg,angry,train,0
train/angry/test_1683_aligned.jpg,angry,train,0
train/angry/im1983.png,angry,train,0
train/angry/im1279.png,angry,train,0
train/angry/im1971.png,angry,train,0
train/angry/im3803.png,angry,train,0
train/angry/im2406.png,angry,train,0
train/angry/im1879.png,angry,train,0
train/angry/Angry_46_png.rf.da7ebff9998c35e5191d6c64d24455b7.jpg,angry,train,0
train/angry/im85.png,angry,train,0
train/angry/im1918.png,angry,train,0
train/angry/im3797.png,angry,train,0
train/angry/im1073.png,angry,train,0
train/angry/im3315.png,angry,train,0
train/angry/im1811.png,angry,train,0
train/angry/im454.png,angry,train,0
train/angry/im814.png,angry,train,0
train/angry/im1815.png,angry,train,0
train/angry/train_07694_aligned.jpg,angry,train,0
train/angry/train_02377_aligned.jpg,angry,train,0
train/angry/im2555.png,angry,train,0
train/angry/im942.png,angry,train,0
train/angry/im563.png,angry,train,0
train/angry/im557.png,angry,train,0
train/angry/im3649.png,angry,train,0
train/angry/train_06920_aligned.jpg,angry,train,0
train/angry/im3187.png,angry,train,0
train/angry/im1561.png,angry,train,0
train/angry/im1929.png,angry,train,0
train/angry/im1311.png,angry,train,0
train/angry/im101.png,angry,train,0
train/angry/im3723.png,angry,train,0
train/angry/im1399.png,angry,train,0
train/angry/im3680.png,angry,train,0
train/angry/im3947.png,angry,train,0
train/angry/im2368.png,angry,train,0
train/angry/test_1013_aligned.jpg,angry,train,0
train/angry/train_03985_aligned.jpg,angry,train,0
train/angry/im1567.png,angry,train,0
train/angry/train_05658_aligned.jpg,angry,train,0
train/angry/im2438.png,angry,train,0
train/angry/im1014.png,angry,train,0
train/angry/im2419.png,angry,train,0
train/angry/im749.png,angry,train,0
train/angry/im334.png,angry,train,0
train/angry/im2972.png,angry,train,0
train/angry/train_08737_aligned.jpg,angry,train,0
train/angry/im3425.png,angry,train,0
train/angry/im1405.png,angry,train,0
train/angry/im926.png,angry,train,0
train/angry/test_1040_aligned.jpg,angry,train,0
train/angry/image_angry_212_jpg.rf.ebdb5eab85c419eccb6a12b1bbeccbbb.jpg,angry,train,0
train/angry/im1541.png,angry,train,0
train/angry/im2971.png,angry,train,0
train/angry/im1911.png,angry,train,0
train/angry/train_06165_aligned.jpg,angry,train,0
train/angry/im2509.png,angry,train,0
train/angry/test_1976_aligned.jpg,angry,train,0
train/angry/Angry_45_png.rf.0eb8dae012fcbe538516a1287e804459.jpg,angry,train,0
train/angry/im2700.png,angry,train,0
train/angry/im3819.png,angry,train,0
train/angry/im1877.png,angry,train,0
train/angry/im1275.png,angry,train,0
train/angry/im3228.png,angry,train,0
