filepath,label,label_id,split
train/neutral/31825.jpg,neutral,2,train
train/neutral/10354.jpg,neutral,2,train
train/happy/17963.jpg,happy,1,train
train/happy/8138.jpg,happy,1,train
train/neutral/6196.jpg,neutral,2,train
train/surprise/32824.jpg,surprise,4,train
train/sad/28302.jpg,sad,3,train
train/neutral/5669.jpg,neutral,2,train
train/angry/29455.jpg,angry,0,train
train/angry/29385.jpg,angry,0,train
train/neutral/35436.jpg,neutral,2,train
train/surprise/28881.jpg,surprise,4,train
train/sad/4005.jpg,sad,3,train
train/sad/8237.jpg,sad,3,train
train/sad/21022.jpg,sad,3,train
train/surprise/28063.jpg,surprise,4,train
train/happy/24399.jpg,happy,1,train
train/happy/9937.jpg,happy,1,train
train/neutral/25559.jpg,neutral,2,train
train/surprise/28844.jpg,surprise,4,train
train/surprise/742.jpg,surprise,4,train
train/sad/18005.jpg,sad,3,train
train/surprise/12176.jpg,surprise,4,train
train/angry/2081.jpg,angry,0,train
train/sad/14273.jpg,sad,3,train
train/neutral/94.jpg,neutral,2,train
train/happy/26535.jpg,happy,1,train
train/happy/458.jpg,happy,1,train
train/angry/22653.jpg,angry,0,train
train/happy/32827.jpg,happy,1,train
train/neutral/34239.jpg,neutral,2,train
train/sad/15254.jpg,sad,3,train
train/sad/14131.jpg,sad,3,train
train/angry/24014.jpg,angry,0,train
train/angry/12055.jpg,angry,0,train
train/angry/33187.jpg,angry,0,train
train/sad/19182.jpg,sad,3,train
train/happy/22841.jpg,happy,1,train
train/surprise/13033.jpg,surprise,4,train
train/angry/11109.jpg,angry,0,train
train/happy/25285.jpg,happy,1,train
train/happy/23163.jpg,happy,1,train
train/angry/26073.jpg,angry,0,train
train/sad/3463.jpg,sad,3,train
train/angry/10729.jpg,angry,0,train
train/surprise/14694.jpg,surprise,4,train
train/surprise/14750.jpg,surprise,4,train
train/happy/31964.jpg,happy,1,train
train/angry/22242.jpg,angry,0,train
train/happy/22474.jpg,happy,1,train
train/neutral/5161.jpg,neutral,2,train
train/surprise/35221.jpg,surprise,4,train
train/surprise/21338.jpg,surprise,4,train
train/sad/385.jpg,sad,3,train
train/happy/19077.jpg,happy,1,train
train/sad/35098.jpg,sad,3,train
train/sad/6028.jpg,sad,3,train
train/happy/22061.jpg,happy,1,train
train/surprise/8698.jpg,surprise,4,train
train/sad/19544.jpg,sad,3,train
train/happy/10140.jpg,happy,1,train
train/surprise/7844.jpg,surprise,4,train
train/surprise/16538.jpg,surprise,4,train
train/sad/25736.jpg,sad,3,train
train/neutral/20632.jpg,neutral,2,train
train/surprise/5506.jpg,surprise,4,train
train/sad/13777.jpg,sad,3,train
train/sad/26423.jpg,sad,3,train
train/neutral/28156.jpg,neutral,2,train
train/surprise/29874.jpg,surprise,4,train
train/sad/31646.jpg,sad,3,train
train/neutral/31172.jpg,neutral,2,train
train/neutral/3980.jpg,neutral,2,train
train/happy/33029.jpg,happy,1,train
train/angry/9389.jpg,angry,0,train
